DHI,DNI,GHI,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Direction,Wind Speed,Time
0,0,0,20,970,93.02,177.08,234.4,0.3,2000-01-01 00:00:00
0,0,0,19,970,97.36,164.22,264.5,0.4,2000-01-01 01:00:00
0,0,0,19,960,100.0,150.44,286.8,0.5,2000-01-01 02:00:00
0,0,0,19,960,98.15,136.67000000000002,303.40000000000003,0.7000000000000001,2000-01-01 03:00:00
0,0,0,19,960,96.73,123.02,309.70000000000005,0.8,2000-01-01 04:00:00
0,0,0,16,970,69.04,109.49,130.0,1.7000000000000002,2000-01-01 05:00:00
0,0,0,16,970,70.12,96.31,128.8,1.7000000000000002,2000-01-01 06:00:00
49,74,58,18,970,63.23,83.58,128.0,1.6,2000-01-01 07:00:00
147,363,262,21,970,52.41,71.55,128.5,1.4,2000-01-01 08:00:00
160,611,460,25,970,41.7,60.65,124.2,1.5,2000-01-01 09:00:00
183,697,617,28,970,34.82,51.6,114.7,1.4,2000-01-01 10:00:00
196,740,714,29,970,32.79,45.54,109.2,1.3,2000-01-01 11:00:00
199,750,741,30,970,31.74,43.74,105.4,1.2000000000000002,2000-01-01 12:00:00
193,732,696,29,970,31.45,46.68,99.9,1.1,2000-01-01 13:00:00
178,680,582,29,970,32.17,53.59,94.3,1.1,2000-01-01 14:00:00
151,579,413,27,970,34.45,63.190000000000005,89.60000000000001,1.1,2000-01-01 15:00:00
110,350,204,25,970,45.34,74.42,94.2,1.3,2000-01-01 16:00:00
9,0,9,22,970,56.28,86.65,102.4,1.7000000000000002,2000-01-01 17:00:00
0,0,0,21,970,57.28,99.51,108.0,1.9,2000-01-01 18:00:00
0,0,0,21,970,58.11,112.77,113.6,2.1,2000-01-01 19:00:00
0,0,0,20,970,59.22,126.29,115.9,2.2,2000-01-01 20:00:00
0,0,0,19,970,60.52,139.97,116.9,2.2,2000-01-01 21:00:00
0,0,0,19,970,61.79,153.75,117.2,2.2,2000-01-01 22:00:00
0,0,0,18,970,63.02,167.52,116.8,2.2,2000-01-01 23:00:00
0,0,0,18,970,64.14,177.11,115.4,2.1,2000-01-02 00:00:00
0,0,0,17,970,65.37,164.25,112.5,2.1,2000-01-02 01:00:00
0,0,0,16,970,66.92,150.46,106.6,1.8,2000-01-02 02:00:00
0,0,0,16,970,68.65,136.70000000000002,95.9,1.6,2000-01-02 03:00:00
0,0,0,15,970,70.51,123.04,82.5,1.4,2000-01-02 04:00:00
0,0,0,15,970,72.51,109.57,70.0,1.5,2000-01-02 05:00:00
0,0,0,15,970,74.68,96.39,62.900000000000006,1.7000000000000002,2000-01-02 06:00:00
49,72,57,17,970,67.9,83.65,60.900000000000006,1.8,2000-01-02 07:00:00
118,446,259,20,970,58.2,71.60000000000001,66.3,1.4,2000-01-02 08:00:00
159,605,456,25,970,44.0,60.67,82.2,1.6,2000-01-02 09:00:00
183,692,613,27,970,36.04,51.6,85.0,1.5,2000-01-02 10:00:00
195,735,710,29,970,33.58,45.5,81.30000000000001,1.4,2000-01-02 11:00:00
198,746,739,29,970,32.6,43.65,80.10000000000001,1.3,2000-01-02 12:00:00
193,729,695,29,970,32.58,46.56,79.30000000000001,1.2000000000000002,2000-01-02 13:00:00
178,678,582,28,970,33.480000000000004,53.46,79.9,1.2000000000000002,2000-01-02 14:00:00
152,579,414,27,970,35.980000000000004,63.05,80.30000000000001,1.2000000000000002,2000-01-02 15:00:00
105,395,212,24,970,46.27,74.29,85.30000000000001,1.3,2000-01-02 16:00:00
11,0,11,22,970,58.46,86.52,93.6,1.5,2000-01-02 17:00:00
0,0,0,21,970,59.83,99.39,99.9,1.7000000000000002,2000-01-02 18:00:00
0,0,0,20,970,61.08,112.65,105.6,1.8,2000-01-02 19:00:00
0,0,0,20,970,62.73,126.17,107.7,1.8,2000-01-02 20:00:00
0,0,0,19,970,64.36,139.86,107.7,1.7000000000000002,2000-01-02 21:00:00
0,0,0,18,970,66.05,153.65,107.8,1.6,2000-01-02 22:00:00
0,0,0,18,970,67.47,167.43,109.7,1.5,2000-01-02 23:00:00
0,0,0,17,970,68.73,177.25,112.3,1.4,2000-01-03 00:00:00
